Country,Date,Log_DMSP,Log_GDP,Log_ELEC,Log_Population,Log_CO2,Log_N2O,Log_CH4,Log_F-gases,Poverty,REGION,SUBREGION
ABW,2013,4.79,,-0.18,11.54,13.68,,,,,19,29
AFG,2013,6.84,3.01,1.52,17.24,16.87,,,,,142,34
AGO,2013,7.73,4.82,1.95,16.97,17.30,,,,,2,17
AIA,2013,3.22,,,,,,,,,19,29
ALA,2013,3.61,,,,,,,,,150,154
ALB,2013,6.33,2.56,1.52,14.88,15.39,,,,,150,39
AND,2013,5.09,,,11.24,13.10,,,,,150,39
ANT,2013,5.21,,-0.43,,,,,,,19,29
ARE,2013,9.49,6.00,4.52,16.02,18.95,,,,,142,145
ARG,2013,10.15,6.41,4.70,17.57,19.06,,,,,19,5
ARM,2013,6.29,2.34,1.65,14.91,15.52,,,,32.00,142,145
ASM,2013,2.80,,-1.93,10.92,,,,,,9,61
ATA,2013,,,-7.67,,,,,,,0,0
ATF,2013,,,,,,,,,,0,0
ATG,2013,4.44,0.18,-1.21,11.41,13.17,,,,,19,29
AUS,2013,9.66,7.35,5.41,16.96,19.75,,,,,9,53
AUT,2013,8.38,6.06,4.18,15.95,17.95,,,,,150,155
AZE,2013,7.59,4.30,2.91,16.06,17.39,,,,,142,145
BDI,2013,3.99,1.00,-1.11,16.16,12.59,,,,,2,14
BEL,2013,9.51,6.26,4.42,16.23,18.35,,,,,150,155
BEN,2013,5.65,2.12,-0.04,16.15,15.57,,,,,2,11
BFA,2013,5.94,2.45,0.16,16.65,14.93,,,,,2,11
BGD,2013,7.43,5.01,3.76,18.87,18.05,,,,,142,34
BGR,2013,7.51,4.00,3.42,15.80,17.49,,,,21.80,150,151
BHR,2013,6.28,3.49,3.14,14.12,17.28,,,,,142,145
BHS,2013,5.01,2.13,0.46,12.84,14.95,,,,,19,29
BIH,2013,6.90,2.88,2.45,15.16,16.90,,,,,150,39
BLM,2013,3.94,,,,,,,,,19,29
BLR,2013,8.10,4.27,3.49,16.06,17.97,,,,5.50,150,151
BLZ,2013,4.70,0.49,-0.83,12.75,13.16,,,,,19,13
BMU,2013,3.12,,-0.54,11.08,12.80,,,,,19,21
BOL,2013,7.73,3.42,1.94,16.16,16.80,,,,38.90,19,5
BRA,2013,11.27,7.72,6.22,19.13,20.04,,,,8.90,19,5
BRB,2013,5.37,,-0.09,12.55,14.19,,,,,19,29
BRN,2013,6.47,2.78,1.32,12.93,15.87,,,,,142,35
BTN,2013,3.40,0.58,0.63,13.53,13.69,,,,,142,34
BVT,2013,,,,,,,,,,0,0
BWA,2013,6.18,2.69,1.45,14.59,15.51,,,,,2,18
CAF,2013,2.65,0.43,-1.94,15.37,12.60,,,,,2,17
CAN,2013,10.96,7.51,6.27,17.38,19.98,,,,,19,21
CCK,2013,,,,,,,,,,0,0
CHE,2013,8.73,6.53,4.09,15.91,17.51,,,,,150,155
CHL,2013,8.78,5.62,4.17,16.68,18.24,,,,14.40,19,5
CHN,2013,12.34,9.13,8.49,21.03,23.05,,,,,142,30
CIV,2013,6.86,3.44,1.56,16.89,16.01,,,,,2,11
CMR,2013,6.11,3.39,1.69,16.92,15.73,,,,,2,17
COD,2013,6.69,3.49,2.11,18.10,14.84,,,,,2,17
COG,2013,6.64,2.65,-0.07,15.30,14.72,,,,,2,17
COK,2013,,,-3.51,,,,,,,9,61
COL,2013,9.12,5.94,4.08,17.67,18.31,,,,30.60,19,5
COM,2013,,-0.51,-3.24,13.53,11.99,,,,,2,14
CPV,2013,3.89,0.63,-1.18,13.14,13.00,,,,,2,11
CRI,2013,7.16,3.90,2.20,15.36,15.85,,,,20.70,19,13
CUB,2013,7.21,,2.71,16.25,17.49,,,,,19,29
CXR,2013,,,,,,,,,,0,0
CYM,2013,4.30,,-0.59,10.97,13.20,,,,,19,29
CYP,2013,7.19,3.09,1.35,13.95,15.60,,,,,142,145
CZE,2013,8.42,5.34,4.10,16.17,18.41,,,,9.70,150,151
DEU,2013,10.45,8.22,6.30,18.22,20.45,,,,,150,155
DJI,2013,3.84,0.38,-1.06,13.67,13.32,,,,,2,14
DMA,2013,1.21,-0.66,-2.42,11.18,11.79,,,,,19,29
DNK,2013,7.85,5.82,3.49,15.54,17.45,,,,,150,154
DOM,2013,7.33,4.11,2.48,16.15,16.91,,,,41.10,19,29
DZA,2013,9.61,5.35,3.81,17.46,18.71,,,,,2,15
ECU,2013,8.59,4.55,3.00,16.57,17.59,,,,25.60,19,5
EGY,2013,10.49,5.61,4.94,18.29,19.18,,,,,2,15
